ISIN;Название;Эффективная доходность (YTM), %;Кредитное качество (рэнкинг);Кредитное качество (число, max=10);Коэф. Ликвидности (max=100);Лет до даты;Цена, % от номинала;Событие в дату;Текущий номинал;НКД;Размер купона;Текущий купон, %;Купон (раз/год);Тип купона;Тип эмитента;Текущая цена + НКД;чистая прибыль;ROI (всего)
RU000A104DZ7;СНХТ БО-02;39,6; CCC;2;41,9;1,1;0;погашение;1000;0;19,32;21,5;12;плавающий;корпоративные;0;1251,16;#ДЕЛ/0!
RU000A106XR7;СберИОС588;0; AA;9;24,2;3;0;погашение;1000;0;0,01;0,01;12;фиксированный;корпоративные;0;1000,36;#ДЕЛ/0!
RU000A10AJV5; СбКИБ1P38;0; AA;9;20,8;0,7;0;погашение;1000;0;0;0;0;нулевой;корпоративные;0;1000;#ДЕЛ/0!
RU000A1088L2;СберИОС618;0; AA;9;19,3;3,5;0;погашение;1000;0;0,01;0,01;13;фиксированный;корпоративные;0;1000,45;#ДЕЛ/0!
RU000A0NNHL2; ВТБ С1-252;0; AA;9;15,4;0,5;0;погашение;1000;0;0;0;0;фиксированный;корпоративные;0;1000;#ДЕЛ/0!
RU000A108421;СберИОС616;0; AA;9;15,3;3,5;0;погашение;1000;0;0,01;0,01;12;фиксированный;корпоративные;0;1000,42;#ДЕЛ/0!
RU000A1097A6;СберИОС641;0; AA;9;15;4;0;погашение;1000;0;0,01;0,01;13;фиксированный;корпоративные;0;1000,52;#ДЕЛ/0!
RU000A10AKH2; СбКИБ1P60;0; AA;9;15;2,9;0;погашение;1000;0;0;0;0;нулевой;корпоративные;0;1000;#ДЕЛ/0!
RU000A10ALM0; СбКИБ1P97;0; AA;9;14,8;2,8;0;погашение;1000;0;0;0;0;нулевой;корпоративные;0;1000;#ДЕЛ/0!
RU000A0UD6J8; ВТБ С1-475;0; AA;9;13,7;0,5;0;погашение;1000;0;0;0;0;фиксированный;корпоративные;0;1000;#ДЕЛ/0!
RU000A103UQ2;СберИОС477;0; AA;9;13,3;1;0;погашение;1000;0;0,1;0,01;1;фиксированный;корпоративные;0;1000,1;#ДЕЛ/0!
